,publication_date,lupus,hiv/aids,prostate cancer,covid-19,takotsubo cardiomyopathy,multiple sclerosis,colon cancer,tuberculoses,bacterial pneumonia,endocarditis,syphilis,type 2 diabetes,multiple myeloma,essential hypertension,sarcoidoses,rheumatoid arthritis,hepatitis b
64,1738.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,1739.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,1740.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,1741.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68,1742.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
69,1743.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,1744.0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,1745.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,1748.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1750.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
74,1751.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,1753.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
76,1754.0,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,1758.0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
78,1759.0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,1760.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,1762.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,1763.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,1765.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,1766.0,1,4,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
84,1767.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,1769.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,1771.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,1772.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,1773.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,1776.0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,1777.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,1778.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,1779.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,1780.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,1781.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,1783.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
96,1784.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,1785.0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1786.0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1787.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1788.0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1789.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,1790.0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,1791.0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,1793.0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,1795.0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,1796.0,0,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0
